date,volume,trades,amount
2013-10-12,92.99,1.0,0.3
2013-10-19,0.0,0.0,0.0
2013-10-26,0.0,0.0,0.0
2013-11-02,0.0,0.0,0.0
2013-11-09,0.0,0.0,0.0
2013-11-16,0.0,0.0,0.0
2013-11-23,2198.68,1.0,1.41
2013-11-30,0.0,0.0,0.0
2013-12-07,0.0,0.0,0.0
2013-12-14,0.0,0.0,0.0
2013-12-21,0.0,0.0,0.0
2013-12-28,0.0,0.0,0.0
2014-01-04,0.0,0.0,0.0
2014-01-11,0.0,0.0,0.0
2014-01-18,0.0,0.0,0.0
2014-01-25,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0
2014-02-08,0.0,0.0,0.0
2014-02-15,0.0,0.0,0.0
2014-02-22,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0
2014-03-08,0.0,0.0,0.0
2014-03-15,0.0,0.0,0.0
2014-03-22,0.0,0.0,0.0
2014-03-29,0.0,0.0,0.0
2014-04-05,0.0,0.0,0.0
2014-04-12,0.0,0.0,0.0
2014-04-19,0.0,0.0,0.0
2014-04-26,0.0,0.0,0.0
2014-05-03,0.0,0.0,0.0
2014-05-10,0.0,0.0,0.0
2014-05-17,0.0,0.0,0.0
2014-05-24,0.0,0.0,0.0
2014-05-31,0.0,0.0,0.0
2014-06-07,0.0,0.0,0.0
2014-06-14,0.0,0.0,0.0
2014-06-21,0.0,0.0,0.0
2014-06-28,0.0,0.0,0.0
2014-07-05,0.0,0.0,0.0
2014-07-12,79.98,1.0,0.05
2014-07-19,0.0,0.0,0.0
2014-07-26,0.0,0.0,0.0
2014-08-02,0.0,0.0,0.0
2014-08-09,0.0,0.0,0.0
2014-08-16,400.0,1.0,0.26
2014-08-23,0.0,0.0,0.0
2014-08-30,0.0,0.0,0.0
2014-09-06,0.0,0.0,0.0
2014-09-13,390.0,1.0,0.28
2014-09-20,0.0,0.0,0.0
2014-09-27,0.0,0.0,0.0
2014-10-04,0.0,0.0,0.0
2014-10-11,0.0,0.0,0.0
2014-10-18,0.0,0.0,0.0
2014-10-25,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0
2014-11-08,0.0,0.0,0.0
2014-11-15,0.0,0.0,0.0
2014-11-22,0.0,0.0,0.0
2014-11-29,0.0,0.0,0.0
2014-12-06,0.0,0.0,0.0
2014-12-13,0.0,0.0,0.0
2014-12-20,0.0,0.0,0.0
2014-12-27,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0
2015-01-10,0.0,0.0,0.0
2015-01-17,0.0,0.0,0.0
2015-01-24,0.0,0.0,0.0
2015-01-31,0.0,0.0,0.0
2015-02-07,0.0,0.0,0.0
2015-02-14,0.0,0.0,0.0
2015-02-21,0.0,0.0,0.0
2015-02-28,0.0,0.0,0.0
2015-03-07,0.0,0.0,0.0
2015-03-14,0.0,0.0,0.0
2015-03-21,0.0,0.0,0.0
2015-03-28,0.0,0.0,0.0
2015-04-04,0.0,0.0,0.0
2015-04-11,0.0,0.0,0.0
2015-04-18,0.0,0.0,0.0
2015-04-25,0.0,0.0,0.0
2015-05-02,0.0,0.0,0.0
2015-05-09,0.0,0.0,0.0
2015-05-16,0.0,0.0,0.0
2015-05-23,0.0,0.0,0.0
2015-05-30,0.0,0.0,0.0
2015-06-06,0.0,0.0,0.0
2015-06-13,0.0,0.0,0.0
2015-06-20,350.0,1.0,0.28
2015-06-27,0.0,0.0,0.0
2015-07-04,200.0,1.0,0.14
2015-07-11,0.0,0.0,0.0
2015-07-18,350.0,1.0,0.29
2015-07-25,250.0,1.0,0.23
2015-08-01,0.0,0.0,0.0
2015-08-08,0.0,0.0,0.0
2015-08-15,0.0,0.0,0.0
2015-08-22,500.0,1.0,0.34
2015-08-29,0.0,0.0,0.0
2015-09-05,0.0,0.0,0.0
2015-09-12,0.0,0.0,0.0
2015-09-19,120.0,1.0,0.09
2015-09-26,0.0,0.0,0.0
2015-10-03,0.0,0.0,0.0
2015-10-10,0.0,0.0,0.0
2015-10-17,0.0,0.0,0.0
2015-10-24,0.0,0.0,0.0
2015-10-31,0.0,0.0,0.0
2015-11-07,0.0,0.0,0.0
2015-11-14,0.0,0.0,0.0
2015-11-21,0.0,0.0,0.0
2015-11-28,0.0,0.0,0.0
2015-12-05,0.0,0.0,0.0
2015-12-12,0.0,0.0,0.0
2015-12-19,0.0,0.0,0.0
2015-12-26,0.0,0.0,0.0
2016-01-02,0.0,0.0,0.0
2016-01-09,0.0,0.0,0.0
2016-01-16,0.0,0.0,0.0
2016-01-23,0.0,0.0,0.0
2016-01-30,0.0,0.0,0.0
2016-02-06,0.0,0.0,0.0
2016-02-13,0.0,0.0,0.0
2016-02-20,0.0,0.0,0.0
2016-02-27,0.0,0.0,0.0
2016-03-05,0.0,0.0,0.0
2016-03-12,0.0,0.0,0.0
2016-03-19,0.0,0.0,0.0
2016-03-26,0.0,0.0,0.0
2016-04-02,0.0,0.0,0.0
2016-04-09,0.0,0.0,0.0
2016-04-16,0.0,0.0,0.0
2016-04-23,50.0,2.0,0.03
2016-04-30,0.0,0.0,0.0
2016-05-07,0.0,0.0,0.0
2016-05-14,0.0,0.0,0.0
2016-05-21,0.0,0.0,0.0
2016-05-28,100.0,1.0,0.05
2016-06-04,400.0,1.0,0.17
2016-06-11,0.0,0.0,0.0
2016-06-18,0.0,0.0,0.0
2016-06-25,100.0,1.0,0.03
2016-07-02,100.0,1.0,0.04
2016-07-09,336.0,2.0,0.12
2016-07-16,2506.0,4.0,0.84
2016-07-23,973.0,4.0,0.34
2016-07-30,6387.82,9.0,2.23
2016-08-06,0.0,0.0,0.0
2016-08-13,0.0,0.0,0.0
2016-08-20,1222.0,4.0,0.49
2016-08-27,1909.0,5.0,0.78
2016-09-03,1600.0,2.0,0.7
2016-09-10,475.66,3.0,0.18
2016-09-17,55.0,2.0,0.02
2016-09-24,273.06,3.0,0.1
2016-10-01,467.98,3.0,0.17
2016-10-08,0.0,0.0,0.0
2016-10-15,1800.0,1.0,0.74
2016-10-22,0.0,0.0,0.0
2016-10-29,1103.95,1.0,0.37
2016-11-05,350.0,1.0,0.12
2016-11-12,0.0,0.0,0.0
2016-11-19,0.0,0.0,0.0
2016-11-26,0.0,0.0,0.0
2016-12-03,0.0,0.0,0.0
2016-12-10,0.0,0.0,0.0
2016-12-17,0.0,0.0,0.0
2016-12-24,0.0,0.0,0.0
2016-12-31,0.0,0.0,0.0
2017-01-07,0.0,0.0,0.0
2017-01-14,0.0,0.0,0.0
2017-01-21,0.0,0.0,0.0
2017-01-28,0.0,0.0,0.0
2017-02-04,0.0,0.0,0.0
2017-02-11,0.0,0.0,0.0
2017-02-18,0.0,0.0,0.0
2017-02-25,0.0,0.0,0.0
2017-03-04,0.0,0.0,0.0
2017-03-11,280.0,1.0,0.04
2017-03-18,0.0,0.0,0.0
2017-03-25,0.0,0.0,0.0
2017-04-01,4583.81,3.0,1.02
2017-04-08,0.0,0.0,0.0
2017-04-15,0.0,0.0,0.0
2017-04-22,0.0,0.0,0.0
2017-04-29,0.0,0.0,0.0
2017-05-06,0.0,0.0,0.0
2017-05-13,1150.0,1.0,0.17
2017-05-20,7765.76,6.0,0.96
2017-05-27,0.0,0.0,0.0
2017-06-03,3368.0,24.0,0.29
2017-06-10,6835.51,23.0,0.55
2017-06-17,8899.83,28.0,0.71
2017-06-24,242.23,1.0,0.02
2017-07-01,3995.0,10.0,0.32
2017-07-08,6065.0,11.0,0.44
2017-07-15,7498.86,16.0,0.64
2017-07-22,3231.54,11.0,0.3
2017-07-29,3701.0,9.0,0.27
2017-08-05,4005.7,10.0,0.29
2017-08-12,5178.0,17.0,0.31
2017-08-19,10712.91,28.0,0.54
2017-08-26,8283.27,33.0,0.38
2017-09-02,13016.33,38.0,0.57
2017-09-09,31551.45,42.0,1.57
