date,volume,trades,amount
2013-09-14,4001.03,1.0,0.19
2013-09-21,24500.92,3.0,1.17
2013-09-28,2499.57,1.0,0.12
2013-10-05,0.0,0.0,0.0
2013-10-12,8250.71,2.0,0.38
2013-10-19,3000.65,1.0,0.12
2013-10-26,0.0,0.0,0.0
2013-11-02,0.0,0.0,0.0
2013-11-09,25002.15,2.0,0.48
2013-11-16,15002.73,1.0,0.26
2013-11-23,0.0,0.0,0.0
2013-11-30,0.0,0.0,0.0
2013-12-07,73017.21,1.0,0.45
2013-12-14,39569.97,1.0,0.4
2013-12-21,38494.96,1.0,0.25
2013-12-28,11014.81,2.0,0.09
2014-01-04,0.0,0.0,0.0
2014-01-11,0.0,0.0,0.0
2014-01-18,54996.2,4.0,0.41
2014-01-25,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0
2014-02-08,0.0,0.0,0.0
2014-02-15,0.0,0.0,0.0
2014-02-22,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0
2014-03-08,33517.73,1.0,0.29
2014-03-15,10.64,1.0,0.0
2014-03-22,0.0,0.0,0.0
2014-03-29,40000.0,2.0,0.36
2014-04-05,0.0,0.0,0.0
2014-04-12,0.0,0.0,0.0
2014-04-19,0.0,0.0,0.0
2014-04-26,0.0,0.0,0.0
2014-05-03,0.0,0.0,0.0
2014-05-10,7972.76,1.0,0.11
2014-05-17,6497.52,1.0,0.09
2014-05-24,0.0,0.0,0.0
2014-05-31,0.0,0.0,0.0
2014-06-07,139863.05,5.0,1.37
2014-06-14,17565.12,2.0,0.19
2014-06-21,59602.49,1.0,0.66
2014-06-28,113637.01,2.0,1.32
2014-07-05,136882.42,5.0,1.37
2014-07-12,28619.34,3.0,0.28
2014-07-19,26898.83,3.0,0.24
2014-07-26,12650.14,2.0,0.13
2014-08-02,34324.32,2.0,0.32
2014-08-09,46725.29,3.0,0.45
2014-08-16,19322.46,3.0,0.21
2014-08-23,13000.0,1.0,0.14
2014-08-30,5572.39,1.0,0.07
2014-09-06,18316.59,2.0,0.24
2014-09-13,0.0,0.0,0.0
2014-09-20,48692.87,1.0,0.72
2014-09-27,0.0,0.0,0.0
2014-10-04,0.0,0.0,0.0
2014-10-11,0.0,0.0,0.0
2014-10-18,0.0,0.0,0.0
2014-10-25,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0
2014-11-08,0.0,0.0,0.0
2014-11-15,103446.0,5.0,1.17
2014-11-22,800265.0,17.0,10.84
2014-11-29,128953.78,2.0,1.85
2014-12-06,0.0,0.0,0.0
2014-12-13,10100.0,2.0,0.14
2014-12-20,17291.03,1.0,0.3
2014-12-27,0.0,0.0,0.0
2015-01-03,106163.58,2.0,1.65
2015-01-10,164966.03,1.0,2.62
2015-01-17,0.0,0.0,0.0
2015-01-24,0.0,0.0,0.0
2015-01-31,0.0,0.0,0.0
2015-02-07,30600.34,2.0,0.76
2015-02-14,397208.04,16.0,9.41
2015-02-21,326549.9,14.0,7.39
2015-02-28,1855173.32,22.0,38.17
2015-03-07,864602.63,7.0,16.67
2015-03-14,0.0,0.0,0.0
2015-03-21,215899.99,4.0,3.95
2015-03-28,191477.0,10.0,3.71
2015-04-04,691249.37,7.0,13.93
2015-04-11,311719.94,7.0,6.64
2015-04-18,103339.0,7.0,2.22
2015-04-25,10000.0,1.0,0.21
2015-05-02,5056.17,1.0,0.12
2015-05-09,55271.89,6.0,1.06
2015-05-16,22000.0,4.0,0.41
2015-05-23,193549.32,15.0,3.91
2015-05-30,111513.25,6.0,2.17
2015-06-06,76599.99,7.0,1.69
2015-06-13,518999.96,4.0,11.56
2015-06-20,83372.31,11.0,1.51
2015-06-27,57000.0,7.0,1.13
2015-07-04,336000.0,10.0,5.86
2015-07-11,11000.0,2.0,0.2
2015-07-18,188999.95,2.0,3.29
2015-07-25,56500.0,8.0,0.87
2015-08-01,124459.78,9.0,1.86
2015-08-08,244043.73,6.0,4.17
2015-08-15,149000.0,5.0,2.46
2015-08-22,1316442.97,8.0,26.5
2015-08-29,88569.22,7.0,1.9
2015-09-05,175750.45,7.0,3.71
2015-09-12,189648.99,17.0,3.99
2015-09-19,422154.44,14.0,9.5
2015-09-26,4997.54,1.0,0.12
2015-10-03,243044.36,6.0,5.31
2015-10-10,490158.45,10.0,10.29
2015-10-17,824000.0,7.0,13.19
2015-10-24,0.0,0.0,0.0
2015-10-31,0.0,0.0,0.0
2015-11-07,302000.01,4.0,3.87
2015-11-14,14000.0,2.0,0.19
2015-11-21,13500.0,3.0,0.18
2015-11-28,145123.75,5.0,1.97
2015-12-05,79500.0,2.0,1.04
2015-12-12,494980.2,7.0,5.17
2015-12-19,926239.83,9.0,9.13
2015-12-26,127908.93,3.0,1.28
2016-01-02,409685.62,11.0,4.27
2016-01-09,129809.61,4.0,1.23
2016-01-16,458286.88,4.0,4.13
2016-01-23,608761.5,15.0,4.73
2016-01-30,342419.07,9.0,3.02
2016-02-06,1028491.24,15.0,9.51
2016-02-13,2221565.34,20.0,21.21
2016-02-20,928777.28,22.0,8.03
2016-02-27,465032.84,21.0,3.52
2016-03-05,427991.39,15.0,3.67
2016-03-12,892765.71,20.0,7.98
2016-03-19,2350396.58,27.0,20.24
2016-03-26,1795479.03,22.0,15.44
2016-04-02,3108467.91,36.0,26.3
2016-04-09,2212775.09,39.0,18.92
2016-04-16,1614534.31,35.0,13.61
2016-04-23,3220414.78,47.0,25.9
2016-04-30,2302543.26,36.0,17.23
2016-05-07,1994338.05,32.0,15.09
2016-05-14,2024687.16,49.0,14.65
2016-05-21,5107274.84,73.0,34.87
2016-05-28,6759846.54,54.0,44.58
2016-06-04,6937110.2,66.0,37.64
2016-06-11,9866689.6,77.0,48.35
2016-06-18,8667588.06,62.0,36.22
2016-06-25,6964958.05,63.0,30.39
2016-07-02,8646875.62,81.0,37.16
2016-07-09,3653382.54,61.0,16.85
2016-07-16,3079895.81,74.0,13.77
2016-07-23,3666105.54,72.0,14.98
2016-07-30,6027215.62,98.0,25.24
2016-08-06,6763852.27,116.0,30.68
2016-08-13,9207441.97,113.0,41.86
2016-08-20,9278453.1,125.0,43.29
2016-08-27,9925475.41,100.0,45.2
2016-09-03,16907239.08,153.0,75.75
2016-09-10,12596217.19,126.0,51.53
2016-09-17,16256069.54,136.0,65.96
2016-09-24,16400154.49,175.0,64.7
2016-10-01,31937618.36,239.0,117.89
2016-10-08,42819447.51,307.0,137.23
2016-10-15,41103471.63,357.0,132.45
2016-10-22,47191803.43,432.0,154.34
2016-10-29,59665424.9,488.0,189.06
2016-11-05,108370019.78,820.0,307.36
2016-11-12,161796139.41,1184.0,450.1
2016-11-19,250340908.87,1878.0,667.75
2016-11-26,433748697.68,2850.0,1105.82
2016-12-03,482950568.68,2691.0,1226.43
2016-12-10,662356281.36,3245.0,1659.69
2016-12-17,438290707.57,2511.0,1126.69
2016-12-24,397407358.62,2440.0,999.69
2016-12-31,313863145.57,2263.0,693.3
2017-01-07,422316318.09,2839.0,862.36
2017-01-14,391279803.1,2883.0,947.33
2017-01-21,445357465.45,3252.0,1045.25
2017-01-28,412594058.93,2954.0,938.87
2017-02-04,545600844.28,3607.0,1169.91
2017-02-11,574192116.52,3858.0,1143.18
2017-02-18,595195043.47,4264.0,1171.81
2017-02-25,569062677.01,4283.0,1048.56
2017-03-04,840322624.12,5378.0,1566.06
2017-03-11,646611510.9,5083.0,1187.37
2017-03-18,611125325.97,5061.0,1153.01
2017-03-25,476034055.88,4861.0,1143.44
2017-04-01,551019432.27,5596.0,1437.5
2017-04-08,684374890.55,6690.0,1541.85
2017-04-15,638345107.03,6540.0,1328.3
2017-04-22,693380511.34,6791.0,1481.64
2017-04-29,643895844.61,7143.0,1308.71
2017-05-06,723972386.05,8055.0,1290.51
2017-05-13,720452656.42,7856.0,1075.99
2017-05-20,788557713.57,8347.0,1118.36
2017-05-27,949868605.51,8294.0,1026.42
2017-06-03,751073912.76,8929.0,825.87
2017-06-10,852131086.89,9051.0,843.06
2017-06-17,815506933.0,8740.0,823.42
2017-06-24,924943350.24,9343.0,911.69
2017-07-01,801795472.75,8980.0,853.31
2017-07-08,866945504.69,10357.0,935.87
2017-07-15,766433019.32,9434.0,910.66
2017-07-22,979557354.1,10953.0,1161.08
2017-07-29,924688908.62,10787.0,991.94
2017-08-05,933182566.02,11883.0,957.31
2017-08-12,960095872.8,12213.0,788.21
2017-08-19,1023008672.05,11784.0,671.73
2017-08-26,1036360772.4,12088.0,681.06
2017-09-02,947153471.0,11643.0,587.8
2017-09-09,68011977.45,1338.0,42.92
